"date","sourdough_hits","state"
2020-04-28,48,"Wisconsin"
2020-04-29,63,"Wisconsin"
2020-04-30,35,"Wisconsin"
2020-05-01,46,"Wisconsin"
2020-05-02,55,"Wisconsin"
2020-05-03,65,"Wisconsin"
2020-05-04,39,"Wisconsin"
2020-05-05,31,"Wisconsin"
2020-05-06,42,"Wisconsin"
2020-05-07,45,"Wisconsin"
2020-05-08,42,"Wisconsin"
2020-05-09,74,"Wisconsin"
2020-05-10,45,"Wisconsin"
2020-05-11,47,"Wisconsin"
2020-05-12,40,"Wisconsin"
2020-05-13,40,"Wisconsin"
2020-05-14,49,"Wisconsin"
2020-05-15,39,"Wisconsin"
2020-05-16,45,"Wisconsin"
2020-02-18,0,"West Virginia"
2020-02-19,0,"West Virginia"
2020-02-20,28,"West Virginia"
2020-02-21,0,"West Virginia"
2020-02-22,0,"West Virginia"
2020-02-23,0,"West Virginia"
2020-02-24,28,"West Virginia"
2020-02-25,0,"West Virginia"
2020-02-26,0,"West Virginia"
2020-02-27,0,"West Virginia"
2020-02-28,54,"West Virginia"
2020-02-29,0,"West Virginia"
2020-03-01,32,"West Virginia"
2020-03-02,26,"West Virginia"
2020-03-03,27,"West Virginia"
2020-03-04,0,"West Virginia"
2020-03-05,0,"West Virginia"
2020-03-06,27,"West Virginia"
2020-03-07,0,"West Virginia"
2020-03-08,0,"West Virginia"
2020-03-09,0,"West Virginia"
2020-03-10,0,"West Virginia"
2020-03-11,28,"West Virginia"
2020-03-12,28,"West Virginia"
2020-03-13,0,"West Virginia"
2020-03-14,32,"West Virginia"
2020-03-15,0,"West Virginia"
2020-03-16,28,"West Virginia"
2020-03-17,0,"West Virginia"
2020-03-18,0,"West Virginia"
2020-03-19,0,"West Virginia"
2020-03-20,26,"West Virginia"
2020-03-21,29,"West Virginia"
2020-03-22,29,"West Virginia"
2020-03-23,23,"West Virginia"
2020-03-24,26,"West Virginia"
2020-03-25,26,"West Virginia"
2020-03-26,0,"West Virginia"
2020-03-27,25,"West Virginia"
2020-03-28,0,"West Virginia"
2020-03-29,28,"West Virginia"
2020-03-30,25,"West Virginia"
2020-03-31,50,"West Virginia"
2020-04-01,100,"West Virginia"
2020-04-02,38,"West Virginia"
2020-04-03,27,"West Virginia"
2020-04-04,30,"West Virginia"
2020-04-05,88,"West Virginia"
2020-04-06,0,"West Virginia"
2020-04-07,26,"West Virginia"
2020-04-08,0,"West Virginia"
2020-04-09,26,"West Virginia"
2020-04-10,26,"West Virginia"
2020-04-11,43,"West Virginia"
2020-04-12,58,"West Virginia"
2020-04-13,74,"West Virginia"
2020-04-14,48,"West Virginia"
2020-04-15,24,"West Virginia"
2020-04-16,24,"West Virginia"
2020-04-17,0,"West Virginia"
2020-04-18,26,"West Virginia"
2020-04-19,0,"West Virginia"
2020-04-20,25,"West Virginia"
2020-04-21,50,"West Virginia"
2020-04-22,0,"West Virginia"
2020-04-23,48,"West Virginia"
2020-04-24,73,"West Virginia"
2020-04-25,53,"West Virginia"
2020-04-26,26,"West Virginia"
2020-04-27,0,"West Virginia"
2020-04-28,25,"West Virginia"
2020-04-29,51,"West Virginia"
2020-04-30,23,"West Virginia"
2020-05-01,38,"West Virginia"
2020-05-02,30,"West Virginia"
2020-05-03,58,"West Virginia"
2020-05-04,25,"West Virginia"
2020-05-05,0,"West Virginia"
2020-05-06,25,"West Virginia"
2020-05-07,27,"West Virginia"
2020-05-08,0,"West Virginia"
2020-05-09,41,"West Virginia"
2020-05-10,30,"West Virginia"
2020-05-11,25,"West Virginia"
2020-05-12,53,"West Virginia"
2020-05-13,27,"West Virginia"
2020-05-14,26,"West Virginia"
2020-05-15,0,"West Virginia"
2020-05-16,30,"West Virginia"
2020-02-18,8,"Washington"
2020-02-19,9,"Washington"
2020-02-20,8,"Washington"
2020-02-21,9,"Washington"
2020-02-22,14,"Washington"
2020-02-23,15,"Washington"
2020-02-24,7,"Washington"
2020-02-25,16,"Washington"
2020-02-26,14,"Washington"
2020-02-27,9,"Washington"
2020-02-28,11,"Washington"
2020-02-29,10,"Washington"
2020-03-01,15,"Washington"
2020-03-02,16,"Washington"
2020-03-03,11,"Washington"
2020-03-04,6,"Washington"
2020-03-05,7,"Washington"
2020-03-06,16,"Washington"
2020-03-07,27,"Washington"
2020-03-08,11,"Washington"
2020-03-09,11,"Washington"
2020-03-10,9,"Washington"
2020-03-11,12,"Washington"
2020-03-12,13,"Washington"
2020-03-13,5,"Washington"
2020-03-14,16,"Washington"
2020-03-15,22,"Washington"
2020-03-16,15,"Washington"
2020-03-17,24,"Washington"
2020-03-18,24,"Washington"
2020-03-19,27,"Washington"
2020-03-20,35,"Washington"
2020-03-21,31,"Washington"
2020-03-22,39,"Washington"
2020-03-23,35,"Washington"
2020-03-24,29,"Washington"
2020-03-25,44,"Washington"
2020-03-26,42,"Washington"
2020-03-27,57,"Washington"
2020-03-28,60,"Washington"
2020-03-29,93,"Washington"
2020-03-30,61,"Washington"
2020-03-31,46,"Washington"
2020-04-01,50,"Washington"
2020-04-02,42,"Washington"
2020-04-03,49,"Washington"
2020-04-04,86,"Washington"
2020-04-05,94,"Washington"
2020-04-06,64,"Washington"
2020-04-07,61,"Washington"
2020-04-08,62,"Washington"
2020-04-09,74,"Washington"
2020-04-10,58,"Washington"
2020-04-11,100,"Washington"
2020-04-12,93,"Washington"
2020-04-13,49,"Washington"
2020-04-14,64,"Washington"
2020-04-15,54,"Washington"
2020-04-16,61,"Washington"
2020-04-17,78,"Washington"
2020-04-18,78,"Washington"
2020-04-19,94,"Washington"
2020-04-20,55,"Washington"
2020-04-21,75,"Washington"
2020-04-22,51,"Washington"
2020-04-23,58,"Washington"
2020-04-24,62,"Washington"
2020-04-25,77,"Washington"
2020-04-26,89,"Washington"
2020-04-27,57,"Washington"
2020-04-28,65,"Washington"
2020-04-29,47,"Washington"
2020-04-30,58,"Washington"
2020-05-01,61,"Washington"
2020-05-02,95,"Washington"
2020-05-03,92,"Washington"
2020-05-04,56,"Washington"
2020-05-05,65,"Washington"
2020-05-06,45,"Washington"
2020-05-07,55,"Washington"
2020-05-08,53,"Washington"
2020-05-09,66,"Washington"
2020-05-10,62,"Washington"
2020-05-11,46,"Washington"
2020-05-12,59,"Washington"
2020-05-13,48,"Washington"
2020-05-14,55,"Washington"
2020-05-15,54,"Washington"
2020-05-16,84,"Washington"
2020-02-18,8,"Virginia"
2020-02-19,14,"Virginia"
2020-02-20,16,"Virginia"
2020-02-21,9,"Virginia"
2020-02-22,13,"Virginia"
2020-02-23,20,"Virginia"
2020-02-24,11,"Virginia"
2020-02-25,14,"Virginia"
2020-02-26,14,"Virginia"
2020-02-27,8,"Virginia"
2020-02-28,9,"Virginia"
2020-02-29,18,"Virginia"
2020-03-01,9,"Virginia"
2020-03-02,17,"Virginia"
2020-03-03,7,"Virginia"
2020-03-04,16,"Virginia"
2020-03-05,9,"Virginia"
2020-03-06,19,"Virginia"
2020-03-07,9,"Virginia"
2020-03-08,17,"Virginia"
2020-03-09,16,"Virginia"
2020-03-10,11,"Virginia"
2020-03-11,11,"Virginia"
2020-03-12,5,"Virginia"
2020-03-13,13,"Virginia"
2020-03-14,19,"Virginia"
2020-03-15,20,"Virginia"
2020-03-16,19,"Virginia"
2020-03-17,16,"Virginia"
2020-03-18,28,"Virginia"
2020-03-19,14,"Virginia"
2020-03-20,26,"Virginia"
2020-03-21,34,"Virginia"
2020-03-22,44,"Virginia"
2020-03-23,36,"Virginia"
2020-03-24,29,"Virginia"
2020-03-25,26,"Virginia"
2020-03-26,31,"Virginia"
2020-03-27,17,"Virginia"
2020-03-28,44,"Virginia"
2020-03-29,47,"Virginia"
2020-03-30,34,"Virginia"
2020-03-31,47,"Virginia"
2020-04-01,53,"Virginia"
2020-04-02,48,"Virginia"
2020-04-03,51,"Virginia"
2020-04-04,49,"Virginia"
2020-04-05,65,"Virginia"
2020-04-06,49,"Virginia"
2020-04-07,49,"Virginia"
2020-04-08,51,"Virginia"
2020-04-09,53,"Virginia"
2020-04-10,54,"Virginia"
2020-04-11,88,"Virginia"
2020-04-12,72,"Virginia"
2020-04-13,58,"Virginia"
2020-04-14,48,"Virginia"
2020-04-15,47,"Virginia"
2020-04-16,46,"Virginia"
2020-04-17,55,"Virginia"
2020-04-18,88,"Virginia"
2020-04-19,45,"Virginia"
2020-04-20,49,"Virginia"
2020-04-21,51,"Virginia"
2020-04-22,71,"Virginia"
2020-04-23,49,"Virginia"
2020-04-24,46,"Virginia"
2020-04-25,100,"Virginia"
2020-04-26,60,"Virginia"
2020-04-27,63,"Virginia"
2020-04-28,57,"Virginia"
2020-04-29,64,"Virginia"
2020-04-30,57,"Virginia"
2020-05-01,66,"Virginia"
2020-05-02,72,"Virginia"
2020-05-03,76,"Virginia"
2020-05-04,39,"Virginia"
2020-05-05,40,"Virginia"
2020-05-06,61,"Virginia"
2020-05-07,59,"Virginia"
2020-05-08,40,"Virginia"
2020-05-09,75,"Virginia"
2020-05-10,78,"Virginia"
2020-05-11,49,"Virginia"
2020-05-12,27,"Virginia"
2020-05-13,41,"Virginia"
2020-05-14,37,"Virginia"
2020-05-15,52,"Virginia"
2020-05-16,77,"Virginia"
2020-02-18,0,"Vermont"
2020-02-19,0,"Vermont"
2020-02-20,21,"Vermont"
2020-02-21,0,"Vermont"
2020-02-22,25,"Vermont"
2020-02-23,26,"Vermont"
2020-02-24,24,"Vermont"
2020-02-25,0,"Vermont"
2020-02-26,23,"Vermont"
2020-02-27,23,"Vermont"
2020-02-28,24,"Vermont"
2020-02-29,26,"Vermont"
2020-03-01,50,"Vermont"
2020-03-02,0,"Vermont"
2020-03-03,23,"Vermont"
2020-03-04,0,"Vermont"
2020-03-05,21,"Vermont"
2020-03-06,0,"Vermont"
2020-03-07,0,"Vermont"
2020-03-08,25,"Vermont"
2020-03-09,23,"Vermont"
2020-03-10,0,"Vermont"
2020-03-11,0,"Vermont"
2020-03-12,0,"Vermont"
2020-03-13,22,"Vermont"
2020-03-14,0,"Vermont"
2020-03-15,23,"Vermont"
2020-03-16,44,"Vermont"
2020-03-17,0,"Vermont"
2020-03-18,22,"Vermont"
2020-03-19,0,"Vermont"
2020-03-20,48,"Vermont"
2020-03-21,47,"Vermont"
2020-03-22,39,"Vermont"
2020-03-23,24,"Vermont"
2020-03-24,46,"Vermont"
2020-03-25,39,"Vermont"
2020-03-26,20,"Vermont"
2020-03-27,28,"Vermont"
2020-03-28,39,"Vermont"
2020-03-29,50,"Vermont"
2020-03-30,37,"Vermont"
2020-03-31,38,"Vermont"
2020-04-01,28,"Vermont"
2020-04-02,18,"Vermont"
2020-04-03,32,"Vermont"
2020-04-04,36,"Vermont"
2020-04-05,75,"Vermont"
2020-04-06,39,"Vermont"
2020-04-07,60,"Vermont"
2020-04-08,57,"Vermont"
2020-04-09,47,"Vermont"
2020-04-10,57,"Vermont"
2020-04-11,60,"Vermont"
2020-04-12,30,"Vermont"
2020-04-13,44,"Vermont"
2020-04-14,67,"Vermont"
2020-04-15,19,"Vermont"
2020-04-16,31,"Vermont"
2020-04-17,38,"Vermont"
2020-04-18,100,"Vermont"
2020-04-19,78,"Vermont"
2020-04-20,80,"Vermont"
2020-04-21,38,"Vermont"
2020-04-22,69,"Vermont"
2020-04-23,39,"Vermont"
2020-04-24,40,"Vermont"
2020-04-25,49,"Vermont"
2020-04-26,36,"Vermont"
2020-04-27,47,"Vermont"
2020-04-28,39,"Vermont"
2020-04-29,20,"Vermont"
2020-04-30,93,"Vermont"
2020-05-01,58,"Vermont"
2020-05-02,40,"Vermont"
2020-05-03,50,"Vermont"
2020-05-04,48,"Vermont"
2020-05-05,48,"Vermont"
2020-05-06,56,"Vermont"
2020-05-07,20,"Vermont"
2020-05-08,38,"Vermont"
2020-05-09,51,"Vermont"
2020-05-10,22,"Vermont"
2020-05-11,32,"Vermont"
2020-05-12,20,"Vermont"
2020-05-13,0,"Vermont"
2020-05-14,35,"Vermont"
2020-05-15,53,"Vermont"
2020-05-16,73,"Vermont"
2020-02-18,9,"Utah"
2020-02-19,22,"Utah"
2020-02-20,14,"Utah"
2020-02-21,24,"Utah"
2020-02-22,16,"Utah"
2020-02-23,22,"Utah"
2020-02-24,18,"Utah"
2020-02-25,14,"Utah"
2020-02-26,18,"Utah"
2020-02-27,9,"Utah"
2020-02-28,9,"Utah"
2020-02-29,11,"Utah"
2020-03-01,18,"Utah"
2020-03-02,14,"Utah"
2020-03-03,14,"Utah"
2020-03-04,9,"Utah"
2020-03-05,14,"Utah"
2020-03-06,14,"Utah"
2020-03-07,18,"Utah"
2020-03-08,43,"Utah"
2020-03-09,12,"Utah"
2020-03-10,9,"Utah"
2020-03-11,14,"Utah"
2020-03-12,8,"Utah"
2020-03-13,18,"Utah"
2020-03-14,11,"Utah"
2020-03-15,18,"Utah"
2020-03-16,27,"Utah"
2020-03-17,30,"Utah"
2020-03-18,0,"Utah"
2020-03-19,28,"Utah"
2020-03-20,25,"Utah"
2020-03-21,51,"Utah"
2020-03-22,49,"Utah"
2020-03-23,48,"Utah"
2020-03-24,25,"Utah"
2020-03-25,33,"Utah"
2020-03-26,39,"Utah"
2020-03-27,35,"Utah"
2020-03-28,48,"Utah"
2020-03-29,44,"Utah"
2020-03-30,54,"Utah"
2020-03-31,39,"Utah"
2020-04-01,57,"Utah"
2020-04-02,47,"Utah"
2020-04-03,51,"Utah"
2020-04-04,53,"Utah"
2020-04-05,66,"Utah"
2020-04-06,47,"Utah"
2020-04-07,44,"Utah"
2020-04-08,35,"Utah"
2020-04-09,47,"Utah"
2020-04-10,51,"Utah"
2020-04-11,55,"Utah"
2020-04-12,100,"Utah"
2020-04-13,51,"Utah"
2020-04-14,51,"Utah"
2020-04-15,46,"Utah"
2020-04-16,39,"Utah"
2020-04-17,41,"Utah"
2020-04-18,62,"Utah"
2020-04-19,74,"Utah"
2020-04-20,27,"Utah"
2020-04-21,50,"Utah"
2020-04-22,33,"Utah"
2020-04-23,68,"Utah"
2020-04-24,48,"Utah"
2020-04-25,71,"Utah"
2020-04-26,55,"Utah"
2020-04-27,34,"Utah"
2020-04-28,28,"Utah"
2020-04-29,50,"Utah"
2020-04-30,21,"Utah"
2020-05-01,48,"Utah"
2020-05-02,66,"Utah"
2020-05-03,45,"Utah"
2020-05-04,41,"Utah"
2020-05-05,11,"Utah"
2020-05-06,36,"Utah"
2020-05-07,51,"Utah"
2020-05-08,50,"Utah"
2020-05-09,72,"Utah"
2020-05-10,65,"Utah"
2020-05-11,47,"Utah"
2020-05-12,37,"Utah"
2020-05-13,39,"Utah"
2020-05-14,31,"Utah"
2020-05-15,26,"Utah"
2020-05-16,41,"Utah"
2020-02-18,6,"Texas"
2020-02-19,8,"Texas"
2020-02-20,9,"Texas"
2020-02-21,19,"Texas"
2020-02-22,12,"Texas"
2020-02-23,15,"Texas"
2020-02-24,16,"Texas"
2020-02-25,14,"Texas"
2020-02-26,20,"Texas"
2020-02-27,9,"Texas"
2020-02-28,12,"Texas"
2020-02-29,10,"Texas"
2020-03-01,14,"Texas"
2020-03-02,10,"Texas"
2020-03-03,10,"Texas"
2020-03-04,6,"Texas"
2020-03-05,11,"Texas"
2020-03-06,13,"Texas"
2020-03-07,8,"Texas"
2020-03-08,12,"Texas"
2020-03-09,10,"Texas"
2020-03-10,18,"Texas"
2020-03-11,10,"Texas"
2020-03-12,9,"Texas"
2020-03-13,10,"Texas"
2020-03-14,21,"Texas"
2020-03-15,24,"Texas"
2020-03-16,16,"Texas"
2020-03-17,17,"Texas"
2020-03-18,16,"Texas"
2020-03-19,26,"Texas"
2020-03-20,32,"Texas"
2020-03-21,41,"Texas"
2020-03-22,57,"Texas"
2020-03-23,38,"Texas"
2020-03-24,37,"Texas"
2020-03-25,36,"Texas"
2020-03-26,56,"Texas"
2020-03-27,40,"Texas"
2020-03-28,49,"Texas"
2020-03-29,80,"Texas"
2020-03-30,50,"Texas"
2020-03-31,50,"Texas"
2020-04-01,44,"Texas"
2020-04-02,57,"Texas"
2020-04-03,51,"Texas"
2020-04-04,88,"Texas"
2020-04-05,90,"Texas"
2020-04-06,78,"Texas"
2020-04-07,59,"Texas"
2020-04-08,56,"Texas"
2020-04-09,67,"Texas"
2020-04-10,75,"Texas"
2020-04-11,87,"Texas"
2020-04-12,88,"Texas"
2020-04-13,62,"Texas"
2020-04-14,54,"Texas"
2020-04-15,55,"Texas"
2020-04-16,53,"Texas"
2020-04-17,55,"Texas"
2020-04-18,79,"Texas"
2020-04-19,100,"Texas"
2020-04-20,73,"Texas"
2020-04-21,58,"Texas"
2020-04-22,64,"Texas"
2020-04-23,51,"Texas"
2020-04-24,36,"Texas"
2020-04-25,84,"Texas"
2020-04-26,79,"Texas"
2020-04-27,60,"Texas"
2020-04-28,50,"Texas"
2020-04-29,60,"Texas"
2020-04-30,55,"Texas"
2020-05-01,43,"Texas"
2020-05-02,67,"Texas"
2020-05-03,78,"Texas"
2020-05-04,46,"Texas"
2020-05-05,38,"Texas"
2020-05-06,39,"Texas"
2020-05-07,40,"Texas"
2020-05-08,45,"Texas"
2020-05-09,69,"Texas"
2020-05-10,57,"Texas"
2020-05-11,47,"Texas"
2020-05-12,58,"Texas"
2020-05-13,44,"Texas"
2020-05-14,46,"Texas"
2020-05-15,40,"Texas"
2020-05-16,62,"Texas"
2020-02-18,20,"Tennessee"
2020-02-19,15,"Tennessee"
2020-02-20,10,"Tennessee"
2020-02-21,10,"Tennessee"
2020-02-22,30,"Tennessee"
2020-02-23,20,"Tennessee"
2020-02-24,10,"Tennessee"
2020-02-25,10,"Tennessee"
2020-02-26,19,"Tennessee"
2020-02-27,16,"Tennessee"
2020-02-28,10,"Tennessee"
2020-02-29,11,"Tennessee"
2020-03-01,16,"Tennessee"
2020-03-02,10,"Tennessee"
2020-03-03,16,"Tennessee"
2020-03-04,10,"Tennessee"
2020-03-05,17,"Tennessee"
2020-03-06,20,"Tennessee"
2020-03-07,24,"Tennessee"
2020-03-08,30,"Tennessee"
2020-03-09,15,"Tennessee"
2020-03-10,15,"Tennessee"
2020-03-11,17,"Tennessee"
2020-03-12,14,"Tennessee"
2020-03-13,10,"Tennessee"
2020-03-14,16,"Tennessee"
2020-03-15,29,"Tennessee"
2020-03-16,34,"Tennessee"
2020-03-17,14,"Tennessee"
2020-03-18,47,"Tennessee"
2020-03-19,31,"Tennessee"
2020-03-20,42,"Tennessee"
2020-03-21,60,"Tennessee"
2020-03-22,26,"Tennessee"
2020-03-23,52,"Tennessee"
2020-03-24,26,"Tennessee"
2020-03-25,20,"Tennessee"
2020-03-26,31,"Tennessee"
2020-03-27,36,"Tennessee"
2020-03-28,34,"Tennessee"
2020-03-29,55,"Tennessee"
2020-03-30,45,"Tennessee"
2020-03-31,56,"Tennessee"
2020-04-01,42,"Tennessee"
2020-04-02,55,"Tennessee"
2020-04-03,66,"Tennessee"
2020-04-04,61,"Tennessee"
2020-04-05,52,"Tennessee"
2020-04-06,77,"Tennessee"
2020-04-07,49,"Tennessee"
2020-04-08,52,"Tennessee"
2020-04-09,52,"Tennessee"
2020-04-10,62,"Tennessee"
2020-04-11,57,"Tennessee"
2020-04-12,39,"Tennessee"
2020-04-13,31,"Tennessee"
2020-04-14,44,"Tennessee"
2020-04-15,49,"Tennessee"
2020-04-16,56,"Tennessee"
2020-04-17,42,"Tennessee"
2020-04-18,93,"Tennessee"
2020-04-19,83,"Tennessee"
2020-04-20,59,"Tennessee"
2020-04-21,64,"Tennessee"
2020-04-22,23,"Tennessee"
2020-04-23,80,"Tennessee"
2020-04-24,41,"Tennessee"
2020-04-25,100,"Tennessee"
2020-04-26,62,"Tennessee"
2020-04-27,39,"Tennessee"
2020-04-28,58,"Tennessee"
2020-04-29,37,"Tennessee"
2020-04-30,45,"Tennessee"
2020-05-01,36,"Tennessee"
2020-05-02,52,"Tennessee"
2020-05-03,67,"Tennessee"
2020-05-04,58,"Tennessee"
2020-05-05,26,"Tennessee"
2020-05-06,41,"Tennessee"
2020-05-07,36,"Tennessee"
2020-05-08,51,"Tennessee"
2020-05-09,47,"Tennessee"
2020-05-10,50,"Tennessee"
2020-05-11,30,"Tennessee"
2020-05-12,29,"Tennessee"
2020-05-13,38,"Tennessee"
2020-05-14,39,"Tennessee"
2020-05-15,33,"Tennessee"
2020-05-16,56,"Tennessee"
2020-02-18,32,"South Dakota"
2020-02-19,32,"South Dakota"
2020-02-20,0,"South Dakota"
2020-02-21,0,"South Dakota"
2020-02-22,0,"South Dakota"
2020-02-23,0,"South Dakota"
2020-02-24,31,"South Dakota"
2020-02-25,0,"South Dakota"
2020-02-26,31,"South Dakota"
2020-02-27,0,"South Dakota"
2020-02-28,0,"South Dakota"
2020-02-29,0,"South Dakota"
2020-03-01,0,"South Dakota"
2020-03-02,0,"South Dakota"
2020-03-03,31,"South Dakota"
2020-03-04,0,"South Dakota"
2020-03-05,0,"South Dakota"
2020-03-06,0,"South Dakota"
2020-03-07,0,"South Dakota"
2020-03-08,0,"South Dakota"
2020-03-09,32,"South Dakota"
2020-03-10,0,"South Dakota"
2020-03-11,0,"South Dakota"
2020-03-12,31,"South Dakota"
2020-03-13,33,"South Dakota"
2020-03-14,38,"South Dakota"
2020-03-15,74,"South Dakota"
2020-03-16,33,"South Dakota"
2020-03-17,33,"South Dakota"
2020-03-18,32,"South Dakota"
2020-03-19,0,"South Dakota"
2020-03-20,0,"South Dakota"
2020-03-21,0,"South Dakota"
2020-03-22,35,"South Dakota"
2020-03-23,27,"South Dakota"
2020-03-24,0,"South Dakota"
2020-03-25,28,"South Dakota"
2020-03-26,58,"South Dakota"
2020-03-27,28,"South Dakota"
2020-03-28,0,"South Dakota"
2020-03-29,36,"South Dakota"
2020-03-30,0,"South Dakota"
2020-03-31,29,"South Dakota"
2020-04-01,29,"South Dakota"
2020-04-02,27,"South Dakota"
2020-04-03,57,"South Dakota"
2020-04-04,34,"South Dakota"
2020-04-05,0,"South Dakota"
2020-04-06,55,"South Dakota"
2020-04-07,30,"South Dakota"
2020-04-08,57,"South Dakota"
2020-04-09,55,"South Dakota"
2020-04-10,30,"South Dakota"
2020-04-11,0,"South Dakota"
2020-04-12,67,"South Dakota"
2020-04-13,42,"South Dakota"
2020-04-14,28,"South Dakota"
