"date","zoom_hits","state"
2020-04-28,54,"Wisconsin"
2020-04-29,56,"Wisconsin"
2020-04-30,56,"Wisconsin"
2020-05-01,47,"Wisconsin"
2020-05-02,28,"Wisconsin"
2020-05-03,30,"Wisconsin"
2020-05-04,39,"Wisconsin"
2020-05-05,48,"Wisconsin"
2020-05-06,49,"Wisconsin"
2020-05-07,47,"Wisconsin"
2020-05-08,42,"Wisconsin"
2020-05-09,28,"Wisconsin"
2020-05-10,32,"Wisconsin"
2020-05-11,41,"Wisconsin"
2020-05-12,48,"Wisconsin"
2020-05-13,43,"Wisconsin"
2020-05-14,42,"Wisconsin"
2020-05-15,36,"Wisconsin"
2020-05-16,18,"Wisconsin"
2020-02-18,6,"West Virginia"
2020-02-19,8,"West Virginia"
2020-02-20,4,"West Virginia"
2020-02-21,4,"West Virginia"
2020-02-22,9,"West Virginia"
2020-02-23,0,"West Virginia"
2020-02-24,10,"West Virginia"
2020-02-25,8,"West Virginia"
2020-02-26,10,"West Virginia"
2020-02-27,6,"West Virginia"
2020-02-28,6,"West Virginia"
2020-02-29,9,"West Virginia"
2020-03-01,7,"West Virginia"
2020-03-02,6,"West Virginia"
2020-03-03,4,"West Virginia"
2020-03-04,0,"West Virginia"
2020-03-05,4,"West Virginia"
2020-03-06,8,"West Virginia"
2020-03-07,8,"West Virginia"
2020-03-08,5,"West Virginia"
2020-03-09,5,"West Virginia"
2020-03-10,4,"West Virginia"
2020-03-11,9,"West Virginia"
2020-03-12,15,"West Virginia"
2020-03-13,16,"West Virginia"
2020-03-14,9,"West Virginia"
2020-03-15,9,"West Virginia"
2020-03-16,23,"West Virginia"
2020-03-17,34,"West Virginia"
2020-03-18,24,"West Virginia"
2020-03-19,44,"West Virginia"
2020-03-20,36,"West Virginia"
2020-03-21,25,"West Virginia"
2020-03-22,24,"West Virginia"
2020-03-23,54,"West Virginia"
2020-03-24,73,"West Virginia"
2020-03-25,71,"West Virginia"
2020-03-26,68,"West Virginia"
2020-03-27,69,"West Virginia"
2020-03-28,37,"West Virginia"
2020-03-29,44,"West Virginia"
2020-03-30,100,"West Virginia"
2020-03-31,76,"West Virginia"
2020-04-01,74,"West Virginia"
2020-04-02,94,"West Virginia"
2020-04-03,78,"West Virginia"
2020-04-04,37,"West Virginia"
2020-04-05,30,"West Virginia"
2020-04-06,51,"West Virginia"
2020-04-07,72,"West Virginia"
2020-04-08,75,"West Virginia"
2020-04-09,58,"West Virginia"
2020-04-10,33,"West Virginia"
2020-04-11,24,"West Virginia"
2020-04-12,45,"West Virginia"
2020-04-13,36,"West Virginia"
2020-04-14,56,"West Virginia"
2020-04-15,54,"West Virginia"
2020-04-16,71,"West Virginia"
2020-04-17,46,"West Virginia"
2020-04-18,33,"West Virginia"
2020-04-19,37,"West Virginia"
2020-04-20,52,"West Virginia"
2020-04-21,54,"West Virginia"
2020-04-22,59,"West Virginia"
2020-04-23,63,"West Virginia"
2020-04-24,52,"West Virginia"
2020-04-25,33,"West Virginia"
2020-04-26,38,"West Virginia"
2020-04-27,40,"West Virginia"
2020-04-28,51,"West Virginia"
2020-04-29,45,"West Virginia"
2020-04-30,52,"West Virginia"
2020-05-01,53,"West Virginia"
2020-05-02,37,"West Virginia"
2020-05-03,24,"West Virginia"
2020-05-04,33,"West Virginia"
2020-05-05,27,"West Virginia"
2020-05-06,32,"West Virginia"
2020-05-07,40,"West Virginia"
2020-05-08,40,"West Virginia"
2020-05-09,26,"West Virginia"
2020-05-10,31,"West Virginia"
2020-05-11,33,"West Virginia"
2020-05-12,32,"West Virginia"
2020-05-13,31,"West Virginia"
2020-05-14,37,"West Virginia"
2020-05-15,27,"West Virginia"
2020-05-16,12,"West Virginia"
2020-02-18,6,"Washington"
2020-02-19,5,"Washington"
2020-02-20,6,"Washington"
2020-02-21,6,"Washington"
2020-02-22,4,"Washington"
2020-02-23,3,"Washington"
2020-02-24,7,"Washington"
2020-02-25,5,"Washington"
2020-02-26,6,"Washington"
2020-02-27,7,"Washington"
2020-02-28,5,"Washington"
2020-02-29,5,"Washington"
2020-03-01,5,"Washington"
2020-03-02,5,"Washington"
2020-03-03,7,"Washington"
2020-03-04,9,"Washington"
2020-03-05,10,"Washington"
2020-03-06,12,"Washington"
2020-03-07,7,"Washington"
2020-03-08,6,"Washington"
2020-03-09,18,"Washington"
2020-03-10,15,"Washington"
2020-03-11,14,"Washington"
2020-03-12,20,"Washington"
2020-03-13,19,"Washington"
2020-03-14,14,"Washington"
2020-03-15,16,"Washington"
2020-03-16,31,"Washington"
2020-03-17,34,"Washington"
2020-03-18,41,"Washington"
2020-03-19,44,"Washington"
2020-03-20,49,"Washington"
2020-03-21,37,"Washington"
2020-03-22,40,"Washington"
2020-03-23,63,"Washington"
2020-03-24,75,"Washington"
2020-03-25,79,"Washington"
2020-03-26,82,"Washington"
2020-03-27,86,"Washington"
2020-03-28,63,"Washington"
2020-03-29,64,"Washington"
2020-03-30,91,"Washington"
2020-03-31,96,"Washington"
2020-04-01,94,"Washington"
2020-04-02,96,"Washington"
2020-04-03,100,"Washington"
2020-04-04,72,"Washington"
2020-04-05,68,"Washington"
2020-04-06,83,"Washington"
2020-04-07,86,"Washington"
2020-04-08,82,"Washington"
2020-04-09,78,"Washington"
2020-04-10,71,"Washington"
2020-04-11,55,"Washington"
2020-04-12,61,"Washington"
2020-04-13,78,"Washington"
2020-04-14,80,"Washington"
2020-04-15,78,"Washington"
2020-04-16,76,"Washington"
2020-04-17,69,"Washington"
2020-04-18,45,"Washington"
2020-04-19,42,"Washington"
2020-04-20,65,"Washington"
2020-04-21,74,"Washington"
2020-04-22,73,"Washington"
2020-04-23,75,"Washington"
2020-04-24,66,"Washington"
2020-04-25,39,"Washington"
2020-04-26,34,"Washington"
2020-04-27,66,"Washington"
2020-04-28,69,"Washington"
2020-04-29,70,"Washington"
2020-04-30,61,"Washington"
2020-05-01,61,"Washington"
2020-05-02,38,"Washington"
2020-05-03,38,"Washington"
2020-05-04,47,"Washington"
2020-05-05,55,"Washington"
2020-05-06,54,"Washington"
2020-05-07,53,"Washington"
2020-05-08,51,"Washington"
2020-05-09,26,"Washington"
2020-05-10,29,"Washington"
2020-05-11,43,"Washington"
2020-05-12,54,"Washington"
2020-05-13,52,"Washington"
2020-05-14,55,"Washington"
2020-05-15,48,"Washington"
2020-05-16,27,"Washington"
2020-02-18,4,"Virginia"
2020-02-19,4,"Virginia"
2020-02-20,5,"Virginia"
2020-02-21,4,"Virginia"
2020-02-22,2,"Virginia"
2020-02-23,4,"Virginia"
2020-02-24,5,"Virginia"
2020-02-25,5,"Virginia"
2020-02-26,4,"Virginia"
2020-02-27,7,"Virginia"
2020-02-28,4,"Virginia"
2020-02-29,4,"Virginia"
2020-03-01,2,"Virginia"
2020-03-02,6,"Virginia"
2020-03-03,5,"Virginia"
2020-03-04,6,"Virginia"
2020-03-05,4,"Virginia"
2020-03-06,5,"Virginia"
2020-03-07,3,"Virginia"
2020-03-08,4,"Virginia"
2020-03-09,7,"Virginia"
2020-03-10,7,"Virginia"
2020-03-11,10,"Virginia"
2020-03-12,15,"Virginia"
2020-03-13,17,"Virginia"
2020-03-14,13,"Virginia"
2020-03-15,16,"Virginia"
2020-03-16,32,"Virginia"
2020-03-17,37,"Virginia"
2020-03-18,42,"Virginia"
2020-03-19,47,"Virginia"
2020-03-20,51,"Virginia"
2020-03-21,35,"Virginia"
2020-03-22,47,"Virginia"
2020-03-23,75,"Virginia"
2020-03-24,86,"Virginia"
2020-03-25,89,"Virginia"
2020-03-26,90,"Virginia"
2020-03-27,76,"Virginia"
2020-03-28,56,"Virginia"
2020-03-29,59,"Virginia"
2020-03-30,81,"Virginia"
2020-03-31,88,"Virginia"
2020-04-01,96,"Virginia"
2020-04-02,100,"Virginia"
2020-04-03,96,"Virginia"
2020-04-04,60,"Virginia"
2020-04-05,59,"Virginia"
2020-04-06,69,"Virginia"
2020-04-07,71,"Virginia"
2020-04-08,70,"Virginia"
2020-04-09,66,"Virginia"
2020-04-10,62,"Virginia"
2020-04-11,48,"Virginia"
2020-04-12,58,"Virginia"
2020-04-13,55,"Virginia"
2020-04-14,64,"Virginia"
2020-04-15,62,"Virginia"
2020-04-16,65,"Virginia"
2020-04-17,58,"Virginia"
2020-04-18,48,"Virginia"
2020-04-19,42,"Virginia"
2020-04-20,55,"Virginia"
2020-04-21,55,"Virginia"
2020-04-22,59,"Virginia"
2020-04-23,62,"Virginia"
2020-04-24,65,"Virginia"
2020-04-25,38,"Virginia"
2020-04-26,46,"Virginia"
2020-04-27,47,"Virginia"
2020-04-28,57,"Virginia"
2020-04-29,58,"Virginia"
2020-04-30,54,"Virginia"
2020-05-01,50,"Virginia"
2020-05-02,31,"Virginia"
2020-05-03,37,"Virginia"
2020-05-04,45,"Virginia"
2020-05-05,48,"Virginia"
2020-05-06,47,"Virginia"
2020-05-07,46,"Virginia"
2020-05-08,40,"Virginia"
2020-05-09,32,"Virginia"
2020-05-10,35,"Virginia"
2020-05-11,38,"Virginia"
2020-05-12,44,"Virginia"
2020-05-13,46,"Virginia"
2020-05-14,41,"Virginia"
2020-05-15,36,"Virginia"
2020-05-16,26,"Virginia"
2020-02-18,3,"Vermont"
2020-02-19,4,"Vermont"
2020-02-20,5,"Vermont"
2020-02-21,4,"Vermont"
2020-02-22,4,"Vermont"
2020-02-23,0,"Vermont"
2020-02-24,4,"Vermont"
2020-02-25,4,"Vermont"
2020-02-26,4,"Vermont"
2020-02-27,4,"Vermont"
2020-02-28,8,"Vermont"
2020-02-29,0,"Vermont"
2020-03-01,4,"Vermont"
2020-03-02,7,"Vermont"
2020-03-03,0,"Vermont"
2020-03-04,7,"Vermont"
2020-03-05,7,"Vermont"
2020-03-06,4,"Vermont"
2020-03-07,4,"Vermont"
2020-03-08,8,"Vermont"
2020-03-09,6,"Vermont"
2020-03-10,4,"Vermont"
2020-03-11,12,"Vermont"
2020-03-12,17,"Vermont"
2020-03-13,18,"Vermont"
2020-03-14,8,"Vermont"
2020-03-15,14,"Vermont"
2020-03-16,53,"Vermont"
2020-03-17,45,"Vermont"
2020-03-18,58,"Vermont"
2020-03-19,63,"Vermont"
2020-03-20,77,"Vermont"
2020-03-21,40,"Vermont"
2020-03-22,50,"Vermont"
2020-03-23,80,"Vermont"
2020-03-24,78,"Vermont"
2020-03-25,94,"Vermont"
2020-03-26,69,"Vermont"
2020-03-27,67,"Vermont"
2020-03-28,55,"Vermont"
2020-03-29,41,"Vermont"
2020-03-30,86,"Vermont"
2020-03-31,67,"Vermont"
2020-04-01,69,"Vermont"
2020-04-02,73,"Vermont"
2020-04-03,100,"Vermont"
2020-04-04,39,"Vermont"
2020-04-05,38,"Vermont"
2020-04-06,65,"Vermont"
2020-04-07,69,"Vermont"
2020-04-08,53,"Vermont"
2020-04-09,73,"Vermont"
2020-04-10,52,"Vermont"
2020-04-11,37,"Vermont"
2020-04-12,41,"Vermont"
2020-04-13,57,"Vermont"
2020-04-14,63,"Vermont"
2020-04-15,51,"Vermont"
2020-04-16,51,"Vermont"
2020-04-17,45,"Vermont"
2020-04-18,33,"Vermont"
2020-04-19,39,"Vermont"
2020-04-20,33,"Vermont"
2020-04-21,45,"Vermont"
2020-04-22,45,"Vermont"
2020-04-23,48,"Vermont"
2020-04-24,37,"Vermont"
2020-04-25,26,"Vermont"
2020-04-26,42,"Vermont"
2020-04-27,47,"Vermont"
2020-04-28,47,"Vermont"
2020-04-29,51,"Vermont"
2020-04-30,43,"Vermont"
2020-05-01,31,"Vermont"
2020-05-02,21,"Vermont"
2020-05-03,20,"Vermont"
2020-05-04,28,"Vermont"
2020-05-05,33,"Vermont"
2020-05-06,43,"Vermont"
2020-05-07,43,"Vermont"
2020-05-08,36,"Vermont"
2020-05-09,25,"Vermont"
2020-05-10,26,"Vermont"
2020-05-11,42,"Vermont"
2020-05-12,28,"Vermont"
2020-05-13,39,"Vermont"
2020-05-14,42,"Vermont"
2020-05-15,41,"Vermont"
2020-05-16,24,"Vermont"
2020-02-18,4,"Utah"
2020-02-19,3,"Utah"
2020-02-20,10,"Utah"
2020-02-21,7,"Utah"
2020-02-22,5,"Utah"
2020-02-23,5,"Utah"
2020-02-24,7,"Utah"
2020-02-25,7,"Utah"
2020-02-26,8,"Utah"
2020-02-27,5,"Utah"
2020-02-28,4,"Utah"
2020-02-29,5,"Utah"
2020-03-01,1,"Utah"
2020-03-02,7,"Utah"
2020-03-03,7,"Utah"
2020-03-04,7,"Utah"
2020-03-05,7,"Utah"
2020-03-06,8,"Utah"
2020-03-07,2,"Utah"
2020-03-08,6,"Utah"
2020-03-09,10,"Utah"
2020-03-10,9,"Utah"
2020-03-11,9,"Utah"
2020-03-12,12,"Utah"
2020-03-13,17,"Utah"
2020-03-14,15,"Utah"
2020-03-15,17,"Utah"
2020-03-16,44,"Utah"
2020-03-17,44,"Utah"
2020-03-18,38,"Utah"
2020-03-19,56,"Utah"
2020-03-20,50,"Utah"
2020-03-21,30,"Utah"
2020-03-22,55,"Utah"
2020-03-23,65,"Utah"
2020-03-24,72,"Utah"
2020-03-25,84,"Utah"
2020-03-26,73,"Utah"
2020-03-27,80,"Utah"
2020-03-28,41,"Utah"
2020-03-29,57,"Utah"
2020-03-30,98,"Utah"
2020-03-31,93,"Utah"
2020-04-01,100,"Utah"
2020-04-02,92,"Utah"
2020-04-03,76,"Utah"
2020-04-04,42,"Utah"
2020-04-05,45,"Utah"
2020-04-06,81,"Utah"
2020-04-07,85,"Utah"
2020-04-08,72,"Utah"
2020-04-09,70,"Utah"
2020-04-10,60,"Utah"
2020-04-11,34,"Utah"
2020-04-12,52,"Utah"
2020-04-13,71,"Utah"
2020-04-14,76,"Utah"
2020-04-15,77,"Utah"
2020-04-16,73,"Utah"
2020-04-17,56,"Utah"
2020-04-18,38,"Utah"
2020-04-19,55,"Utah"
2020-04-20,65,"Utah"
2020-04-21,80,"Utah"
2020-04-22,69,"Utah"
2020-04-23,72,"Utah"
2020-04-24,56,"Utah"
2020-04-25,34,"Utah"
2020-04-26,57,"Utah"
2020-04-27,43,"Utah"
2020-04-28,58,"Utah"
2020-04-29,56,"Utah"
2020-04-30,55,"Utah"
2020-05-01,48,"Utah"
2020-05-02,17,"Utah"
2020-05-03,37,"Utah"
2020-05-04,44,"Utah"
2020-05-05,47,"Utah"
2020-05-06,42,"Utah"
2020-05-07,50,"Utah"
2020-05-08,34,"Utah"
2020-05-09,23,"Utah"
2020-05-10,26,"Utah"
2020-05-11,33,"Utah"
2020-05-12,45,"Utah"
2020-05-13,50,"Utah"
2020-05-14,39,"Utah"
2020-05-15,39,"Utah"
2020-05-16,28,"Utah"
2020-02-18,5,"Texas"
2020-02-19,5,"Texas"
2020-02-20,3,"Texas"
2020-02-21,4,"Texas"
2020-02-22,3,"Texas"
2020-02-23,3,"Texas"
2020-02-24,4,"Texas"
2020-02-25,4,"Texas"
2020-02-26,3,"Texas"
2020-02-27,4,"Texas"
2020-02-28,4,"Texas"
2020-02-29,4,"Texas"
2020-03-01,3,"Texas"
2020-03-02,4,"Texas"
2020-03-03,5,"Texas"
2020-03-04,5,"Texas"
2020-03-05,4,"Texas"
2020-03-06,4,"Texas"
2020-03-07,3,"Texas"
2020-03-08,4,"Texas"
2020-03-09,5,"Texas"
2020-03-10,5,"Texas"
2020-03-11,6,"Texas"
2020-03-12,7,"Texas"
2020-03-13,10,"Texas"
2020-03-14,7,"Texas"
2020-03-15,8,"Texas"
2020-03-16,19,"Texas"
2020-03-17,27,"Texas"
2020-03-18,35,"Texas"
2020-03-19,43,"Texas"
2020-03-20,50,"Texas"
2020-03-21,34,"Texas"
2020-03-22,47,"Texas"
2020-03-23,90,"Texas"
2020-03-24,87,"Texas"
2020-03-25,94,"Texas"
2020-03-26,88,"Texas"
2020-03-27,83,"Texas"
2020-03-28,46,"Texas"
2020-03-29,52,"Texas"
2020-03-30,100,"Texas"
2020-03-31,90,"Texas"
2020-04-01,96,"Texas"
2020-04-02,92,"Texas"
2020-04-03,88,"Texas"
2020-04-04,58,"Texas"
2020-04-05,56,"Texas"
2020-04-06,86,"Texas"
2020-04-07,79,"Texas"
2020-04-08,85,"Texas"
2020-04-09,76,"Texas"
2020-04-10,50,"Texas"
2020-04-11,44,"Texas"
2020-04-12,44,"Texas"
2020-04-13,53,"Texas"
2020-04-14,63,"Texas"
2020-04-15,64,"Texas"
2020-04-16,64,"Texas"
2020-04-17,57,"Texas"
2020-04-18,37,"Texas"
2020-04-19,40,"Texas"
2020-04-20,56,"Texas"
2020-04-21,62,"Texas"
2020-04-22,60,"Texas"
2020-04-23,60,"Texas"
2020-04-24,49,"Texas"
2020-04-25,30,"Texas"
2020-04-26,33,"Texas"
2020-04-27,48,"Texas"
2020-04-28,51,"Texas"
2020-04-29,55,"Texas"
2020-04-30,47,"Texas"
2020-05-01,44,"Texas"
2020-05-02,26,"Texas"
2020-05-03,28,"Texas"
2020-05-04,42,"Texas"
2020-05-05,44,"Texas"
2020-05-06,45,"Texas"
2020-05-07,44,"Texas"
2020-05-08,36,"Texas"
2020-05-09,24,"Texas"
2020-05-10,22,"Texas"
2020-05-11,38,"Texas"
2020-05-12,39,"Texas"
2020-05-13,40,"Texas"
2020-05-14,41,"Texas"
2020-05-15,36,"Texas"
2020-05-16,21,"Texas"
2020-02-18,6,"Tennessee"
2020-02-19,4,"Tennessee"
2020-02-20,4,"Tennessee"
2020-02-21,3,"Tennessee"
2020-02-22,4,"Tennessee"
2020-02-23,3,"Tennessee"
2020-02-24,6,"Tennessee"
2020-02-25,5,"Tennessee"
2020-02-26,6,"Tennessee"
2020-02-27,6,"Tennessee"
2020-02-28,6,"Tennessee"
2020-02-29,4,"Tennessee"
2020-03-01,2,"Tennessee"
2020-03-02,4,"Tennessee"
2020-03-03,4,"Tennessee"
2020-03-04,4,"Tennessee"
2020-03-05,3,"Tennessee"
2020-03-06,4,"Tennessee"
2020-03-07,3,"Tennessee"
2020-03-08,4,"Tennessee"
2020-03-09,5,"Tennessee"
2020-03-10,6,"Tennessee"
2020-03-11,8,"Tennessee"
2020-03-12,11,"Tennessee"
2020-03-13,15,"Tennessee"
2020-03-14,9,"Tennessee"
2020-03-15,11,"Tennessee"
2020-03-16,24,"Tennessee"
2020-03-17,30,"Tennessee"
2020-03-18,34,"Tennessee"
2020-03-19,40,"Tennessee"
2020-03-20,46,"Tennessee"
2020-03-21,37,"Tennessee"
2020-03-22,46,"Tennessee"
2020-03-23,84,"Tennessee"
2020-03-24,91,"Tennessee"
2020-03-25,83,"Tennessee"
2020-03-26,67,"Tennessee"
2020-03-27,67,"Tennessee"
2020-03-28,44,"Tennessee"
2020-03-29,52,"Tennessee"
2020-03-30,82,"Tennessee"
2020-03-31,90,"Tennessee"
2020-04-01,100,"Tennessee"
2020-04-02,87,"Tennessee"
2020-04-03,81,"Tennessee"
2020-04-04,55,"Tennessee"
2020-04-05,60,"Tennessee"
2020-04-06,78,"Tennessee"
2020-04-07,81,"Tennessee"
2020-04-08,81,"Tennessee"
2020-04-09,75,"Tennessee"
2020-04-10,52,"Tennessee"
2020-04-11,38,"Tennessee"
2020-04-12,55,"Tennessee"
2020-04-13,54,"Tennessee"
2020-04-14,60,"Tennessee"
2020-04-15,64,"Tennessee"
2020-04-16,60,"Tennessee"
2020-04-17,59,"Tennessee"
2020-04-18,36,"Tennessee"
2020-04-19,44,"Tennessee"
2020-04-20,53,"Tennessee"
2020-04-21,63,"Tennessee"
2020-04-22,60,"Tennessee"
2020-04-23,63,"Tennessee"
2020-04-24,54,"Tennessee"
2020-04-25,28,"Tennessee"
2020-04-26,36,"Tennessee"
2020-04-27,45,"Tennessee"
2020-04-28,48,"Tennessee"
2020-04-29,49,"Tennessee"
2020-04-30,47,"Tennessee"
2020-05-01,41,"Tennessee"
2020-05-02,25,"Tennessee"
2020-05-03,26,"Tennessee"
2020-05-04,35,"Tennessee"
2020-05-05,39,"Tennessee"
2020-05-06,39,"Tennessee"
2020-05-07,39,"Tennessee"
2020-05-08,35,"Tennessee"
2020-05-09,20,"Tennessee"
2020-05-10,22,"Tennessee"
2020-05-11,28,"Tennessee"
2020-05-12,32,"Tennessee"
2020-05-13,39,"Tennessee"
2020-05-14,37,"Tennessee"
2020-05-15,36,"Tennessee"
2020-05-16,21,"Tennessee"
2020-02-18,8,"South Dakota"
2020-02-19,4,"South Dakota"
2020-02-20,8,"South Dakota"
2020-02-21,4,"South Dakota"
2020-02-22,5,"South Dakota"
2020-02-23,5,"South Dakota"
2020-02-24,6,"South Dakota"
2020-02-25,11,"South Dakota"
2020-02-26,4,"South Dakota"
2020-02-27,4,"South Dakota"
2020-02-28,4,"South Dakota"
2020-02-29,5,"South Dakota"
2020-03-01,0,"South Dakota"
2020-03-02,4,"South Dakota"
2020-03-03,4,"South Dakota"
2020-03-04,12,"South Dakota"
2020-03-05,4,"South Dakota"
2020-03-06,7,"South Dakota"
2020-03-07,5,"South Dakota"
2020-03-08,0,"South Dakota"
2020-03-09,6,"South Dakota"
2020-03-10,8,"South Dakota"
2020-03-11,6,"South Dakota"
2020-03-12,8,"South Dakota"
2020-03-13,10,"South Dakota"
2020-03-14,5,"South Dakota"
2020-03-15,7,"South Dakota"
2020-03-16,18,"South Dakota"
2020-03-17,16,"South Dakota"
2020-03-18,36,"South Dakota"
2020-03-19,36,"South Dakota"
2020-03-20,36,"South Dakota"
2020-03-21,13,"South Dakota"
2020-03-22,19,"South Dakota"
2020-03-23,73,"South Dakota"
2020-03-24,90,"South Dakota"
2020-03-25,100,"South Dakota"
2020-03-26,78,"South Dakota"
2020-03-27,67,"South Dakota"
2020-03-28,48,"South Dakota"
2020-03-29,62,"South Dakota"
2020-03-30,80,"South Dakota"
2020-03-31,96,"South Dakota"
2020-04-01,85,"South Dakota"
2020-04-02,94,"South Dakota"
2020-04-03,85,"South Dakota"
2020-04-04,62,"South Dakota"
2020-04-05,60,"South Dakota"
2020-04-06,75,"South Dakota"
2020-04-07,81,"South Dakota"
2020-04-08,78,"South Dakota"
2020-04-09,58,"South Dakota"
2020-04-10,46,"South Dakota"
2020-04-11,50,"South Dakota"
2020-04-12,68,"South Dakota"
2020-04-13,40,"South Dakota"
2020-04-14,74,"South Dakota"
