"date","ticketmaster_hits","state"
2020-04-28,9,"Wisconsin"
2020-04-29,9,"Wisconsin"
2020-04-30,9,"Wisconsin"
2020-05-01,10,"Wisconsin"
2020-05-02,23,"Wisconsin"
2020-05-03,12,"Wisconsin"
2020-05-04,9,"Wisconsin"
2020-05-05,20,"Wisconsin"
2020-05-06,14,"Wisconsin"
2020-05-07,10,"Wisconsin"
2020-05-08,25,"Wisconsin"
2020-05-09,11,"Wisconsin"
2020-05-10,11,"Wisconsin"
2020-05-11,19,"Wisconsin"
2020-05-12,14,"Wisconsin"
2020-05-13,13,"Wisconsin"
2020-05-14,12,"Wisconsin"
2020-05-15,20,"Wisconsin"
2020-05-16,12,"Wisconsin"
2020-02-18,39,"West Virginia"
2020-02-19,31,"West Virginia"
2020-02-20,73,"West Virginia"
2020-02-21,85,"West Virginia"
2020-02-22,36,"West Virginia"
2020-02-23,36,"West Virginia"
2020-02-24,51,"West Virginia"
2020-02-25,100,"West Virginia"
2020-02-26,40,"West Virginia"
2020-02-27,39,"West Virginia"
2020-02-28,82,"West Virginia"
2020-02-29,23,"West Virginia"
2020-03-01,47,"West Virginia"
2020-03-02,19,"West Virginia"
2020-03-03,20,"West Virginia"
2020-03-04,20,"West Virginia"
2020-03-05,42,"West Virginia"
2020-03-06,41,"West Virginia"
2020-03-07,23,"West Virginia"
2020-03-08,48,"West Virginia"
2020-03-09,21,"West Virginia"
2020-03-10,20,"West Virginia"
2020-03-11,63,"West Virginia"
2020-03-12,62,"West Virginia"
2020-03-13,31,"West Virginia"
2020-03-14,24,"West Virginia"
2020-03-15,0,"West Virginia"
2020-03-16,41,"West Virginia"
2020-03-17,40,"West Virginia"
2020-03-18,21,"West Virginia"
2020-03-19,0,"West Virginia"
2020-03-20,0,"West Virginia"
2020-03-21,21,"West Virginia"
2020-03-22,0,"West Virginia"
2020-03-23,0,"West Virginia"
2020-03-24,0,"West Virginia"
2020-03-25,0,"West Virginia"
2020-03-26,20,"West Virginia"
2020-03-27,0,"West Virginia"
2020-03-28,0,"West Virginia"
2020-03-29,0,"West Virginia"
2020-03-30,19,"West Virginia"
2020-03-31,0,"West Virginia"
2020-04-01,0,"West Virginia"
2020-04-02,19,"West Virginia"
2020-04-03,0,"West Virginia"
2020-04-04,0,"West Virginia"
2020-04-05,0,"West Virginia"
2020-04-06,19,"West Virginia"
2020-04-07,19,"West Virginia"
2020-04-08,19,"West Virginia"
2020-04-09,0,"West Virginia"
2020-04-10,20,"West Virginia"
2020-04-11,0,"West Virginia"
2020-04-12,0,"West Virginia"
2020-04-13,0,"West Virginia"
2020-04-14,18,"West Virginia"
2020-04-15,0,"West Virginia"
2020-04-16,36,"West Virginia"
2020-04-17,0,"West Virginia"
2020-04-18,20,"West Virginia"
2020-04-19,0,"West Virginia"
2020-04-20,0,"West Virginia"
2020-04-21,0,"West Virginia"
2020-04-22,0,"West Virginia"
2020-04-23,0,"West Virginia"
2020-04-24,0,"West Virginia"
2020-04-25,0,"West Virginia"
2020-04-26,0,"West Virginia"
2020-04-27,0,"West Virginia"
2020-04-28,0,"West Virginia"
2020-04-29,19,"West Virginia"
2020-04-30,0,"West Virginia"
2020-05-01,19,"West Virginia"
2020-05-02,22,"West Virginia"
2020-05-03,22,"West Virginia"
2020-05-04,0,"West Virginia"
2020-05-05,0,"West Virginia"
2020-05-06,19,"West Virginia"
2020-05-07,20,"West Virginia"
2020-05-08,19,"West Virginia"
2020-05-09,21,"West Virginia"
2020-05-10,0,"West Virginia"
2020-05-11,0,"West Virginia"
2020-05-12,20,"West Virginia"
2020-05-13,0,"West Virginia"
2020-05-14,19,"West Virginia"
2020-05-15,0,"West Virginia"
2020-05-16,22,"West Virginia"
2020-02-18,45,"Washington"
2020-02-19,27,"Washington"
2020-02-20,43,"Washington"
2020-02-21,43,"Washington"
2020-02-22,23,"Washington"
2020-02-23,24,"Washington"
2020-02-24,32,"Washington"
2020-02-25,54,"Washington"
2020-02-26,47,"Washington"
2020-02-27,45,"Washington"
2020-02-28,100,"Washington"
2020-02-29,37,"Washington"
2020-03-01,18,"Washington"
2020-03-02,31,"Washington"
2020-03-03,25,"Washington"
2020-03-04,31,"Washington"
2020-03-05,33,"Washington"
2020-03-06,33,"Washington"
2020-03-07,24,"Washington"
2020-03-08,23,"Washington"
2020-03-09,21,"Washington"
2020-03-10,38,"Washington"
2020-03-11,34,"Washington"
2020-03-12,46,"Washington"
2020-03-13,30,"Washington"
2020-03-14,24,"Washington"
2020-03-15,11,"Washington"
2020-03-16,13,"Washington"
2020-03-17,9,"Washington"
2020-03-18,19,"Washington"
2020-03-19,10,"Washington"
2020-03-20,21,"Washington"
2020-03-21,7,"Washington"
2020-03-22,6,"Washington"
2020-03-23,8,"Washington"
2020-03-24,7,"Washington"
2020-03-25,11,"Washington"
2020-03-26,9,"Washington"
2020-03-27,11,"Washington"
2020-03-28,10,"Washington"
2020-03-29,12,"Washington"
2020-03-30,11,"Washington"
2020-03-31,8,"Washington"
2020-04-01,11,"Washington"
2020-04-02,8,"Washington"
2020-04-03,5,"Washington"
2020-04-04,10,"Washington"
2020-04-05,12,"Washington"
2020-04-06,6,"Washington"
2020-04-07,14,"Washington"
2020-04-08,9,"Washington"
2020-04-09,6,"Washington"
2020-04-10,6,"Washington"
2020-04-11,13,"Washington"
2020-04-12,15,"Washington"
2020-04-13,13,"Washington"
2020-04-14,17,"Washington"
2020-04-15,7,"Washington"
2020-04-16,11,"Washington"
2020-04-17,20,"Washington"
2020-04-18,12,"Washington"
2020-04-19,18,"Washington"
2020-04-20,5,"Washington"
2020-04-21,8,"Washington"
2020-04-22,10,"Washington"
2020-04-23,5,"Washington"
2020-04-24,11,"Washington"
2020-04-25,6,"Washington"
2020-04-26,6,"Washington"
2020-04-27,11,"Washington"
2020-04-28,16,"Washington"
2020-04-29,9,"Washington"
2020-04-30,8,"Washington"
2020-05-01,11,"Washington"
2020-05-02,19,"Washington"
2020-05-03,6,"Washington"
2020-05-04,12,"Washington"
2020-05-05,8,"Washington"
2020-05-06,5,"Washington"
2020-05-07,7,"Washington"
2020-05-08,6,"Washington"
2020-05-09,6,"Washington"
2020-05-10,19,"Washington"
2020-05-11,6,"Washington"
2020-05-12,11,"Washington"
2020-05-13,7,"Washington"
2020-05-14,5,"Washington"
2020-05-15,14,"Washington"
2020-05-16,15,"Washington"
2020-02-18,66,"Virginia"
2020-02-19,37,"Virginia"
2020-02-20,61,"Virginia"
2020-02-21,47,"Virginia"
2020-02-22,70,"Virginia"
2020-02-23,35,"Virginia"
2020-02-24,62,"Virginia"
2020-02-25,58,"Virginia"
2020-02-26,81,"Virginia"
2020-02-27,38,"Virginia"
2020-02-28,82,"Virginia"
2020-02-29,70,"Virginia"
2020-03-01,30,"Virginia"
2020-03-02,51,"Virginia"
2020-03-03,62,"Virginia"
2020-03-04,76,"Virginia"
2020-03-05,82,"Virginia"
2020-03-06,83,"Virginia"
2020-03-07,63,"Virginia"
2020-03-08,67,"Virginia"
2020-03-09,41,"Virginia"
2020-03-10,67,"Virginia"
2020-03-11,78,"Virginia"
2020-03-12,100,"Virginia"
2020-03-13,70,"Virginia"
2020-03-14,39,"Virginia"
2020-03-15,23,"Virginia"
2020-03-16,44,"Virginia"
2020-03-17,8,"Virginia"
2020-03-18,16,"Virginia"
2020-03-19,12,"Virginia"
2020-03-20,28,"Virginia"
2020-03-21,14,"Virginia"
2020-03-22,23,"Virginia"
2020-03-23,25,"Virginia"
2020-03-24,12,"Virginia"
2020-03-25,8,"Virginia"
2020-03-26,8,"Virginia"
2020-03-27,11,"Virginia"
2020-03-28,18,"Virginia"
2020-03-29,18,"Virginia"
2020-03-30,15,"Virginia"
2020-03-31,15,"Virginia"
2020-04-01,7,"Virginia"
2020-04-02,0,"Virginia"
2020-04-03,8,"Virginia"
2020-04-04,13,"Virginia"
2020-04-05,27,"Virginia"
2020-04-06,11,"Virginia"
2020-04-07,12,"Virginia"
2020-04-08,8,"Virginia"
2020-04-09,0,"Virginia"
2020-04-10,24,"Virginia"
2020-04-11,18,"Virginia"
2020-04-12,9,"Virginia"
2020-04-13,11,"Virginia"
2020-04-14,19,"Virginia"
2020-04-15,18,"Virginia"
2020-04-16,19,"Virginia"
2020-04-17,8,"Virginia"
2020-04-18,0,"Virginia"
2020-04-19,9,"Virginia"
2020-04-20,11,"Virginia"
2020-04-21,11,"Virginia"
2020-04-22,8,"Virginia"
2020-04-23,15,"Virginia"
2020-04-24,11,"Virginia"
2020-04-25,26,"Virginia"
2020-04-26,9,"Virginia"
2020-04-27,8,"Virginia"
2020-04-28,15,"Virginia"
2020-04-29,8,"Virginia"
2020-04-30,7,"Virginia"
2020-05-01,12,"Virginia"
2020-05-02,0,"Virginia"
2020-05-03,18,"Virginia"
2020-05-04,11,"Virginia"
2020-05-05,10,"Virginia"
2020-05-06,7,"Virginia"
2020-05-07,0,"Virginia"
2020-05-08,15,"Virginia"
2020-05-09,18,"Virginia"
2020-05-10,19,"Virginia"
2020-05-11,15,"Virginia"
2020-05-12,15,"Virginia"
2020-05-13,8,"Virginia"
2020-05-14,8,"Virginia"
2020-05-15,8,"Virginia"
2020-05-16,9,"Virginia"
2020-02-18,46,"Vermont"
2020-02-19,0,"Vermont"
2020-02-20,46,"Vermont"
2020-02-21,50,"Vermont"
2020-02-22,0,"Vermont"
2020-02-23,0,"Vermont"
2020-02-24,52,"Vermont"
2020-02-25,0,"Vermont"
2020-02-26,0,"Vermont"
2020-02-27,48,"Vermont"
2020-02-28,0,"Vermont"
2020-02-29,56,"Vermont"
2020-03-01,0,"Vermont"
2020-03-02,97,"Vermont"
2020-03-03,49,"Vermont"
2020-03-04,0,"Vermont"
2020-03-05,0,"Vermont"
2020-03-06,49,"Vermont"
2020-03-07,0,"Vermont"
2020-03-08,0,"Vermont"
2020-03-09,0,"Vermont"
2020-03-10,0,"Vermont"
2020-03-11,0,"Vermont"
2020-03-12,47,"Vermont"
2020-03-13,47,"Vermont"
2020-03-14,0,"Vermont"
2020-03-15,49,"Vermont"
2020-03-16,0,"Vermont"
2020-03-17,45,"Vermont"
2020-03-18,46,"Vermont"
2020-03-19,0,"Vermont"
2020-03-20,0,"Vermont"
2020-03-21,0,"Vermont"
2020-03-22,51,"Vermont"
2020-03-23,38,"Vermont"
2020-03-24,0,"Vermont"
2020-03-25,0,"Vermont"
2020-03-26,0,"Vermont"
2020-03-27,0,"Vermont"
2020-03-28,100,"Vermont"
2020-03-29,0,"Vermont"
2020-03-30,40,"Vermont"
2020-03-31,0,"Vermont"
2020-04-01,0,"Vermont"
2020-04-02,0,"Vermont"
2020-04-03,0,"Vermont"
2020-04-04,0,"Vermont"
2020-04-05,0,"Vermont"
2020-04-06,0,"Vermont"
2020-04-07,0,"Vermont"
2020-04-08,0,"Vermont"
2020-04-09,0,"Vermont"
2020-04-10,0,"Vermont"
2020-04-11,0,"Vermont"
2020-04-12,0,"Vermont"
2020-04-13,0,"Vermont"
2020-04-14,41,"Vermont"
2020-04-15,0,"Vermont"
2020-04-16,0,"Vermont"
2020-04-17,0,"Vermont"
2020-04-18,0,"Vermont"
2020-04-19,0,"Vermont"
2020-04-20,42,"Vermont"
2020-04-21,0,"Vermont"
2020-04-22,0,"Vermont"
2020-04-23,0,"Vermont"
2020-04-24,0,"Vermont"
2020-04-25,0,"Vermont"
2020-04-26,46,"Vermont"
2020-04-27,0,"Vermont"
2020-04-28,0,"Vermont"
2020-04-29,0,"Vermont"
2020-04-30,0,"Vermont"
2020-05-01,0,"Vermont"
2020-05-02,0,"Vermont"
2020-05-03,0,"Vermont"
2020-05-04,0,"Vermont"
2020-05-05,38,"Vermont"
2020-05-06,0,"Vermont"
2020-05-07,0,"Vermont"
2020-05-08,0,"Vermont"
2020-05-09,0,"Vermont"
2020-05-10,0,"Vermont"
2020-05-11,41,"Vermont"
2020-05-12,0,"Vermont"
2020-05-13,0,"Vermont"
2020-05-14,0,"Vermont"
2020-05-15,43,"Vermont"
2020-05-16,0,"Vermont"
2020-02-18,54,"Utah"
2020-02-19,82,"Utah"
2020-02-20,100,"Utah"
2020-02-21,96,"Utah"
2020-02-22,62,"Utah"
2020-02-23,64,"Utah"
2020-02-24,27,"Utah"
2020-02-25,94,"Utah"
2020-02-26,88,"Utah"
2020-02-27,40,"Utah"
2020-02-28,82,"Utah"
2020-02-29,42,"Utah"
2020-03-01,62,"Utah"
2020-03-02,44,"Utah"
2020-03-03,53,"Utah"
2020-03-04,53,"Utah"
2020-03-05,45,"Utah"
2020-03-06,73,"Utah"
2020-03-07,31,"Utah"
2020-03-08,52,"Utah"
2020-03-09,52,"Utah"
2020-03-10,62,"Utah"
2020-03-11,78,"Utah"
2020-03-12,73,"Utah"
2020-03-13,44,"Utah"
2020-03-14,61,"Utah"
2020-03-15,62,"Utah"
2020-03-16,52,"Utah"
2020-03-17,79,"Utah"
2020-03-18,22,"Utah"
2020-03-19,24,"Utah"
2020-03-20,41,"Utah"
2020-03-21,59,"Utah"
2020-03-22,0,"Utah"
2020-03-23,23,"Utah"
2020-03-24,48,"Utah"
2020-03-25,48,"Utah"
2020-03-26,0,"Utah"
2020-03-27,23,"Utah"
2020-03-28,0,"Utah"
2020-03-29,0,"Utah"
2020-03-30,24,"Utah"
2020-03-31,0,"Utah"
2020-04-01,24,"Utah"
2020-04-02,0,"Utah"
2020-04-03,25,"Utah"
2020-04-04,28,"Utah"
2020-04-05,29,"Utah"
2020-04-06,24,"Utah"
2020-04-07,25,"Utah"
2020-04-08,0,"Utah"
2020-04-09,0,"Utah"
2020-04-10,53,"Utah"
2020-04-11,0,"Utah"
2020-04-12,30,"Utah"
2020-04-13,41,"Utah"
2020-04-14,23,"Utah"
2020-04-15,33,"Utah"
2020-04-16,34,"Utah"
2020-04-17,32,"Utah"
2020-04-18,0,"Utah"
2020-04-19,0,"Utah"
2020-04-20,24,"Utah"
2020-04-21,24,"Utah"
2020-04-22,0,"Utah"
2020-04-23,23,"Utah"
2020-04-24,0,"Utah"
2020-04-25,59,"Utah"
2020-04-26,59,"Utah"
2020-04-27,24,"Utah"
2020-04-28,24,"Utah"
2020-04-29,36,"Utah"
2020-04-30,23,"Utah"
2020-05-01,37,"Utah"
2020-05-02,29,"Utah"
2020-05-03,0,"Utah"
2020-05-04,24,"Utah"
2020-05-05,0,"Utah"
2020-05-06,24,"Utah"
2020-05-07,49,"Utah"
2020-05-08,0,"Utah"
2020-05-09,30,"Utah"
2020-05-10,64,"Utah"
2020-05-11,33,"Utah"
2020-05-12,0,"Utah"
2020-05-13,24,"Utah"
2020-05-14,49,"Utah"
2020-05-15,25,"Utah"
2020-05-16,0,"Utah"
2020-02-18,71,"Texas"
2020-02-19,68,"Texas"
2020-02-20,79,"Texas"
2020-02-21,80,"Texas"
2020-02-22,72,"Texas"
2020-02-23,49,"Texas"
2020-02-24,67,"Texas"
2020-02-25,87,"Texas"
2020-02-26,70,"Texas"
2020-02-27,71,"Texas"
2020-02-28,100,"Texas"
2020-02-29,73,"Texas"
2020-03-01,45,"Texas"
2020-03-02,67,"Texas"
2020-03-03,66,"Texas"
2020-03-04,54,"Texas"
2020-03-05,75,"Texas"
2020-03-06,84,"Texas"
2020-03-07,95,"Texas"
2020-03-08,74,"Texas"
2020-03-09,67,"Texas"
2020-03-10,79,"Texas"
2020-03-11,69,"Texas"
2020-03-12,82,"Texas"
2020-03-13,63,"Texas"
2020-03-14,32,"Texas"
2020-03-15,18,"Texas"
2020-03-16,25,"Texas"
2020-03-17,28,"Texas"
2020-03-18,23,"Texas"
2020-03-19,17,"Texas"
2020-03-20,14,"Texas"
2020-03-21,15,"Texas"
2020-03-22,15,"Texas"
2020-03-23,14,"Texas"
2020-03-24,14,"Texas"
2020-03-25,8,"Texas"
2020-03-26,12,"Texas"
2020-03-27,13,"Texas"
2020-03-28,7,"Texas"
2020-03-29,9,"Texas"
2020-03-30,7,"Texas"
2020-03-31,13,"Texas"
2020-04-01,11,"Texas"
2020-04-02,13,"Texas"
2020-04-03,15,"Texas"
2020-04-04,8,"Texas"
2020-04-05,6,"Texas"
2020-04-06,9,"Texas"
2020-04-07,10,"Texas"
2020-04-08,10,"Texas"
2020-04-09,8,"Texas"
2020-04-10,12,"Texas"
2020-04-11,5,"Texas"
2020-04-12,6,"Texas"
2020-04-13,15,"Texas"
2020-04-14,19,"Texas"
2020-04-15,15,"Texas"
2020-04-16,19,"Texas"
2020-04-17,11,"Texas"
2020-04-18,15,"Texas"
2020-04-19,4,"Texas"
2020-04-20,10,"Texas"
2020-04-21,15,"Texas"
2020-04-22,16,"Texas"
2020-04-23,11,"Texas"
2020-04-24,13,"Texas"
2020-04-25,7,"Texas"
2020-04-26,9,"Texas"
2020-04-27,7,"Texas"
2020-04-28,11,"Texas"
2020-04-29,9,"Texas"
2020-04-30,10,"Texas"
2020-05-01,15,"Texas"
2020-05-02,7,"Texas"
2020-05-03,11,"Texas"
2020-05-04,8,"Texas"
2020-05-05,12,"Texas"
2020-05-06,10,"Texas"
2020-05-07,9,"Texas"
2020-05-08,21,"Texas"
2020-05-09,20,"Texas"
2020-05-10,8,"Texas"
2020-05-11,7,"Texas"
2020-05-12,6,"Texas"
2020-05-13,11,"Texas"
2020-05-14,12,"Texas"
2020-05-15,4,"Texas"
2020-05-16,6,"Texas"
2020-02-18,51,"Tennessee"
2020-02-19,53,"Tennessee"
2020-02-20,52,"Tennessee"
2020-02-21,68,"Tennessee"
2020-02-22,75,"Tennessee"
2020-02-23,43,"Tennessee"
2020-02-24,36,"Tennessee"
2020-02-25,100,"Tennessee"
2020-02-26,69,"Tennessee"
2020-02-27,59,"Tennessee"
2020-02-28,88,"Tennessee"
2020-02-29,100,"Tennessee"
2020-03-01,62,"Tennessee"
2020-03-02,66,"Tennessee"
2020-03-03,40,"Tennessee"
2020-03-04,60,"Tennessee"
2020-03-05,66,"Tennessee"
2020-03-06,51,"Tennessee"
2020-03-07,34,"Tennessee"
2020-03-08,25,"Tennessee"
2020-03-09,23,"Tennessee"
2020-03-10,24,"Tennessee"
2020-03-11,26,"Tennessee"
2020-03-12,73,"Tennessee"
2020-03-13,32,"Tennessee"
2020-03-14,28,"Tennessee"
2020-03-15,15,"Tennessee"
2020-03-16,27,"Tennessee"
2020-03-17,27,"Tennessee"
2020-03-18,35,"Tennessee"
2020-03-19,8,"Tennessee"
2020-03-20,15,"Tennessee"
2020-03-21,13,"Tennessee"
2020-03-22,30,"Tennessee"
2020-03-23,14,"Tennessee"
2020-03-24,15,"Tennessee"
2020-03-25,16,"Tennessee"
2020-03-26,13,"Tennessee"
2020-03-27,8,"Tennessee"
2020-03-28,13,"Tennessee"
2020-03-29,9,"Tennessee"
2020-03-30,15,"Tennessee"
2020-03-31,11,"Tennessee"
2020-04-01,8,"Tennessee"
2020-04-02,12,"Tennessee"
2020-04-03,8,"Tennessee"
2020-04-04,9,"Tennessee"
2020-04-05,17,"Tennessee"
2020-04-06,15,"Tennessee"
2020-04-07,0,"Tennessee"
2020-04-08,23,"Tennessee"
2020-04-09,0,"Tennessee"
2020-04-10,24,"Tennessee"
2020-04-11,13,"Tennessee"
2020-04-12,12,"Tennessee"
2020-04-13,15,"Tennessee"
2020-04-14,15,"Tennessee"
2020-04-15,14,"Tennessee"
2020-04-16,7,"Tennessee"
2020-04-17,20,"Tennessee"
2020-04-18,8,"Tennessee"
2020-04-19,19,"Tennessee"
2020-04-20,17,"Tennessee"
2020-04-21,0,"Tennessee"
2020-04-22,19,"Tennessee"
2020-04-23,29,"Tennessee"
2020-04-24,12,"Tennessee"
2020-04-25,24,"Tennessee"
2020-04-26,8,"Tennessee"
2020-04-27,13,"Tennessee"
2020-04-28,15,"Tennessee"
2020-04-29,10,"Tennessee"
2020-04-30,14,"Tennessee"
2020-05-01,19,"Tennessee"
2020-05-02,9,"Tennessee"
2020-05-03,13,"Tennessee"
2020-05-04,15,"Tennessee"
2020-05-05,10,"Tennessee"
2020-05-06,11,"Tennessee"
2020-05-07,8,"Tennessee"
2020-05-08,22,"Tennessee"
2020-05-09,11,"Tennessee"
2020-05-10,15,"Tennessee"
2020-05-11,13,"Tennessee"
2020-05-12,10,"Tennessee"
2020-05-13,19,"Tennessee"
2020-05-14,11,"Tennessee"
2020-05-15,16,"Tennessee"
2020-05-16,9,"Tennessee"
2020-02-18,46,"South Dakota"
2020-02-19,44,"South Dakota"
2020-02-20,70,"South Dakota"
2020-02-21,24,"South Dakota"
2020-02-22,57,"South Dakota"
2020-02-23,0,"South Dakota"
2020-02-24,23,"South Dakota"
2020-02-25,100,"South Dakota"
2020-02-26,37,"South Dakota"
2020-02-27,92,"South Dakota"
2020-02-28,80,"South Dakota"
2020-02-29,59,"South Dakota"
2020-03-01,28,"South Dakota"
2020-03-02,22,"South Dakota"
2020-03-03,30,"South Dakota"
2020-03-04,0,"South Dakota"
2020-03-05,23,"South Dakota"
2020-03-06,24,"South Dakota"
2020-03-07,41,"South Dakota"
2020-03-08,44,"South Dakota"
2020-03-09,23,"South Dakota"
2020-03-10,23,"South Dakota"
2020-03-11,47,"South Dakota"
2020-03-12,23,"South Dakota"
2020-03-13,24,"South Dakota"
2020-03-14,0,"South Dakota"
2020-03-15,0,"South Dakota"
2020-03-16,0,"South Dakota"
2020-03-17,0,"South Dakota"
2020-03-18,0,"South Dakota"
2020-03-19,23,"South Dakota"
2020-03-20,22,"South Dakota"
2020-03-21,0,"South Dakota"
2020-03-22,0,"South Dakota"
2020-03-23,60,"South Dakota"
2020-03-24,0,"South Dakota"
2020-03-25,0,"South Dakota"
2020-03-26,0,"South Dakota"
2020-03-27,20,"South Dakota"
2020-03-28,24,"South Dakota"
2020-03-29,0,"South Dakota"
2020-03-30,21,"South Dakota"
2020-03-31,0,"South Dakota"
2020-04-01,0,"South Dakota"
2020-04-02,20,"South Dakota"
2020-04-03,20,"South Dakota"
2020-04-04,0,"South Dakota"
2020-04-05,0,"South Dakota"
2020-04-06,20,"South Dakota"
2020-04-07,0,"South Dakota"
2020-04-08,0,"South Dakota"
2020-04-09,20,"South Dakota"
2020-04-10,22,"South Dakota"
2020-04-11,0,"South Dakota"
2020-04-12,0,"South Dakota"
2020-04-13,0,"South Dakota"
2020-04-14,0,"South Dakota"
